Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
01/31/2021 01:31:22	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Debug\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	01/31/2021 01:31:18	01/31/2021 07:31:18	5120
01/31/2021 07:15:48	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Debug\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	01/31/2021 07:15:48	01/31/2021 13:15:48	5120
01/31/2021 08:23:15	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Release\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	01/31/2021 08:23:15	01/31/2021 14:23:15	5120
01/31/2021 17:45:53	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Release\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	01/31/2021 17:45:46	01/31/2021 23:45:46	5120
02/03/2021 16:02:32	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Debug\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	02/03/2021 16:02:28	02/03/2021 22:02:28	5120
02/06/2021 03:12:21	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Release\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	02/06/2021 03:12:15	02/06/2021 09:12:15	5120
03/21/2021 19:52:02	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Debug\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	03/21/2021 19:51:59	03/22/2021 00:51:59	5120
03/21/2021 22:09:18	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Debug\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	03/21/2021 22:09:15	03/22/2021 03:09:15	5120
03/21/2021 22:22:55	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Debug\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	03/21/2021 22:22:53	03/22/2021 03:22:53	5120
03/21/2021 23:29:51	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\DiagnosticInfo\bin\Release\WizardWrx.DiagnosticInfo.dll	Common Classes for the Microsoft .NET Framework 3.5 and Above	WizardWrx.DiagnosticInfo	8.0.0.0	03/21/2021 23:29:46	03/22/2021 04:29:46	5120
