Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
12/20/2020 20:55:51	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	GUITestStand	GUITestStand	1.0.1.0	12/20/2020 20:55:51	12/21/2020 02:55:51	30208
12/20/2020 21:04:39	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	GUITestStand	GUITestStand	1.0.2.0	12/20/2020 21:04:39	12/21/2020 03:04:39	30720
12/20/2020 22:12:05	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	GUITestStand	GUITestStand	1.0.3.0	12/20/2020 22:12:05	12/21/2020 04:12:05	30720
12/20/2020 23:11:30	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	GUITestStand	GUITestStand	1.0.4.0	12/20/2020 23:11:29	12/21/2020 05:11:29	30720
12/20/2020 23:37:17	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	GUITestStand	GUITestStand	1.0.5.0	12/20/2020 23:37:17	12/21/2020 05:37:17	30720
12/21/2020 00:14:00	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	GUITestStand	GUITestStand	1.0.6.0	12/21/2020 00:14:00	12/21/2020 06:14:00	30720
12/21/2020 01:02:37	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	GUITestStand	GUITestStand	1.0.7.0	12/21/2020 01:02:37	12/21/2020 07:02:37	30720
12/21/2020 01:43:38	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/21/2020 01:43:38	12/21/2020 07:43:38	31232
12/21/2020 02:11:43	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/21/2020 02:11:43	12/21/2020 08:11:43	31232
12/21/2020 03:02:19	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Release\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/21/2020 03:02:18	12/21/2020 09:02:18	31232
12/21/2020 15:12:49	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/21/2020 15:12:49	12/21/2020 21:12:49	31232
12/21/2020 16:00:40	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Release\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/21/2020 16:00:40	12/21/2020 22:00:40	31232
12/21/2020 17:39:42	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Release\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/21/2020 17:39:42	12/21/2020 23:39:42	31232
12/21/2020 17:47:33	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Release\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/21/2020 17:47:33	12/21/2020 23:47:33	31232
12/22/2020 19:11:55	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Release\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/22/2020 19:11:54	12/23/2020 01:11:54	31232
12/23/2020 09:56:28	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/23/2020 09:56:27	12/23/2020 15:56:27	31232
12/23/2020 12:05:14	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/23/2020 12:05:14	12/23/2020 18:05:14	31232
12/23/2020 14:03:31	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/23/2020 14:03:30	12/23/2020 20:03:30	31232
12/23/2020 14:48:04	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Debug\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/23/2020 14:48:03	12/23/2020 20:48:03	31232
12/23/2020 17:07:58	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WizardWrx_NET_API\GUITestStand\bin\Release\GUITestStand.exe	Common Classes for the Microsoft .NET Framework 3.5 and Above	GUITestStand	7.24.215.0	12/23/2020 17:07:58	12/23/2020 23:07:58	31232
